nb_series;nb_years;method;time
50;12;cruncher_v2;4.44936842105352
50;12;cruncher_v3;3.58673684210571
50;12;RJDemetra;10.2145789473684
50;12;rjd3x13;3.15426315789419
100;12;cruncher_v2;6.15936363636292
100;12;cruncher_v3;4.62854545454495
100;12;RJDemetra;22.542045454547
100;12;rjd3x13;6.4790454545473
750;12;cruncher_v2;21.91144
750;12;cruncher_v3;13.3374000000002
750;12;RJDemetra;179.8306
750;12;rjd3x13;50.3687599999999
250;12;cruncher_v2;10.6014285714279
250;12;cruncher_v3;6.94089285714348
250;12;RJDemetra;61.0443571428567
250;12;rjd3x13;17.1848214285718
1000;12;cruncher_v2;26.8062399999992
1000;12;cruncher_v3;15.9314399999998
1000;12;RJDemetra;238.96792
1000;12;rjd3x13;65.9932399999996
500;12;cruncher_v2;15.5063103448269
500;12;cruncher_v3;9.7063103448272
500;12;RJDemetra;114.54524137931
500;12;rjd3x13;32.2045172413798
50;5;cruncher_v2;4.57557142857142
50;5;cruncher_v3;3.55221428571431
50;5;RJDemetra;11.5763571428572
50;5;rjd3x13;3.09435714285716
1000;5;cruncher_v2;19.5224583333333
1000;5;cruncher_v3;12.3764583333349
1000;5;RJDemetra;251.053208333335
1000;5;rjd3x13;57.1750000000003
50;10;cruncher_v2;4.35457142857148
50;10;cruncher_v3;3.48892857142859
50;10;RJDemetra;10.8107142857142
50;10;rjd3x13;3.12328571428569
100;10;cruncher_v2;5.32994736842077
100;10;cruncher_v3;3.98057894736937
100;10;RJDemetra;19.4298947368422
100;10;rjd3x13;5.13999999999951
100;5;cruncher_v2;5.5435499999984
100;5;cruncher_v3;4.12559999999997
100;5;RJDemetra;21.3272999999997
100;5;rjd3x13;5.37129999999954
50;15;cruncher_v2;5.25269230769229
50;15;cruncher_v3;3.92153846153844
50;15;RJDemetra;13.1443846153846
50;15;rjd3x13;4.22200000000006
100;15;cruncher_v2;7.67926315789285
100;15;cruncher_v3;5.41884210526442
100;15;RJDemetra;26.7538947368436
100;15;rjd3x13;8.30105263157968
50;20;cruncher_v2;5.74330769230769
50;20;cruncher_v3;4.4980769230769
50;20;RJDemetra;13.4589230769231
50;20;rjd3x13;5.22707692307696
100;20;cruncher_v2;8.12438888888845
100;20;cruncher_v3;5.73855555555543
100;20;RJDemetra;27.0977777777776
100;20;rjd3x13;9.92722222222186
250;10;cruncher_v2;9.35311538461608
250;10;cruncher_v3;6.30707692307731
250;10;RJDemetra;56.640653846154
250;10;rjd3x13;14.1675384615384
250;5;cruncher_v2;8.21923529411717
250;5;cruncher_v3;5.78488235294118
250;5;RJDemetra;56.4258235294118
250;5;rjd3x13;13.1833529411762
250;15;cruncher_v2;12.1591538461541
250;15;cruncher_v3;7.61023076922986
250;15;RJDemetra;66.3132307692303
250;15;rjd3x13;20.3331538461544
250;20;cruncher_v2;14.1192799999996
250;20;cruncher_v3;8.50295999999989
250;20;RJDemetra;71.5167200000004
250;20;rjd3x13;26.5080800000004
500;10;cruncher_v2;14.1920833333336
500;10;cruncher_v3;9.22983333333393
500;10;RJDemetra;117.790916666667
500;10;rjd3x13;28.6851249999998
500;5;cruncher_v2;12.581319999999
500;5;cruncher_v3;8.47968000000075
500;5;RJDemetra;123.922960000001
500;5;rjd3x13;28.66048
500;15;cruncher_v2;19.2283333333328
500;15;cruncher_v3;11.2893749999999
500;15;RJDemetra;134.241708333333
500;15;rjd3x13;40.7292916666657
500;20;cruncher_v2;23.474304347826
500;20;cruncher_v3;12.9017391304344
500;20;RJDemetra;142.228043478261
500;20;rjd3x13;52.4306956521739
750;10;cruncher_v2;19.5956818181821
750;10;cruncher_v3;12.0974090909092
750;10;RJDemetra;179.49359090909
750;10;rjd3x13;43.7299545454555
1000;10;cruncher_v2;23.7807391304356
1000;10;cruncher_v3;14.5006086956527
1000;10;RJDemetra;232.491043478261
1000;10;rjd3x13;57.4640434782619
750;5;cruncher_v2;16.6282272727271
750;5;cruncher_v3;10.5653636363638
750;5;RJDemetra;195.458045454545
750;5;rjd3x13;43.3246818181825
750;15;cruncher_v2;26.001869565216
750;15;cruncher_v3;14.435086956522
750;15;RJDemetra;196.342913043477
750;15;rjd3x13;59.0129565217392
750;20;cruncher_v2;32.6744999999992
750;20;cruncher_v3;16.8426363636361
750;20;RJDemetra;217.585409090909
750;20;rjd3x13;79.6407727272733
1000;15;cruncher_v2;30.8708260869561
1000;15;cruncher_v3;17.2954782608702
1000;15;RJDemetra;253.586739130435
1000;15;rjd3x13;76.2390869565217
1000;20;cruncher_v2;39.7972608695646
1000;20;cruncher_v3;20.6563043478263
1000;20;RJDemetra;279.246782608696
1000;20;rjd3x13;102.353217391305
